seat_id|room_id|row|col|seat_code|status
I4|PHONG_002|9|4|I4|Trống
I5|PHONG_002|9|5|I5|Trống
I6|PHONG_002|9|6|I6|Trống
I7|PHONG_002|9|7|I7|Trống
I8|PHONG_002|9|8|I8|Trống
I9|PHONG_002|9|9|I9|Trống
A1|PHONG_003|1|1|A1|Trống
A2|PHONG_003|1|2|A2|Trống
A3|PHONG_003|1|3|A3|Trống
A4|PHONG_003|1|4|A4|Trống
A5|PHONG_003|1|5|A5|Trống
A6|PHONG_003|1|6|A6|Trống
A7|PHONG_003|1|7|A7|Trống
A8|PHONG_003|1|8|A8|Trống
A9|PHONG_003|1|9|A9|Trống
B1|PHONG_003|2|1|B1|Trống
B2|PHONG_003|2|2|B2|Trống
B3|PHONG_003|2|3|B3|Trống
B4|PHONG_003|2|4|B4|Trống
B5|PHONG_003|2|5|B5|Trống
B6|PHONG_003|2|6|B6|Trống
B7|PHONG_003|2|7|B7|Trống
B8|PHONG_003|2|8|B8|Trống
B9|PHONG_003|2|9|B9|Trống
C1|PHONG_003|3|1|C1|Trống
C2|PHONG_003|3|2|C2|Trống
C3|PHONG_003|3|3|C3|Trống
C4|PHONG_003|3|4|C4|Trống
C5|PHONG_003|3|5|C5|Trống
C6|PHONG_003|3|6|C6|Trống
C7|PHONG_003|3|7|C7|Trống
C8|PHONG_003|3|8|C8|Trống
C9|PHONG_003|3|9|C9|Trống
D1|PHONG_003|4|1|D1|Trống
D2|PHONG_003|4|2|D2|Trống
D3|PHONG_003|4|3|D3|Trống
D4|PHONG_003|4|4|D4|Trống
D5|PHONG_003|4|5|D5|Trống
D6|PHONG_003|4|6|D6|Trống
D7|PHONG_003|4|7|D7|Trống
D8|PHONG_003|4|8|D8|Trống
D9|PHONG_003|4|9|D9|Trống
E1|PHONG_003|5|1|E1|Trống
E2|PHONG_003|5|2|E2|Trống
E3|PHONG_003|5|3|E3|Trống
E4|PHONG_003|5|4|E4|Trống
E5|PHONG_003|5|5|E5|Trống
E6|PHONG_003|5|6|E6|Trống
E7|PHONG_003|5|7|E7|Trống
E8|PHONG_003|5|8|E8|Trống
E9|PHONG_003|5|9|E9|Trống
F1|PHONG_003|6|1|F1|Trống
F2|PHONG_003|6|2|F2|Trống
F3|PHONG_003|6|3|F3|Trống
F4|PHONG_003|6|4|F4|Trống
F5|PHONG_003|6|5|F5|Trống
F6|PHONG_003|6|6|F6|Trống
F7|PHONG_003|6|7|F7|Trống
F8|PHONG_003|6|8|F8|Trống
F9|PHONG_003|6|9|F9|Trống
G1|PHONG_003|7|1|G1|Trống
G2|PHONG_003|7|2|G2|Trống
G3|PHONG_003|7|3|G3|Trống
G4|PHONG_003|7|4|G4|Trống
G5|PHONG_003|7|5|G5|Trống
G6|PHONG_003|7|6|G6|Trống
G7|PHONG_003|7|7|G7|Trống
G8|PHONG_003|7|8|G8|Trống
G9|PHONG_003|7|9|G9|Trống
H1|PHONG_003|8|1|H1|Trống
H2|PHONG_003|8|2|H2|Trống
H3|PHONG_003|8|3|H3|Trống
H4|PHONG_003|8|4|H4|Trống
H5|PHONG_003|8|5|H5|Trống
H6|PHONG_003|8|6|H6|Trống
H7|PHONG_003|8|7|H7|Trống
H8|PHONG_003|8|8|H8|Trống
H9|PHONG_003|8|9|H9|Trống
I1|PHONG_003|9|1|I1|Trống
I2|PHONG_003|9|2|I2|Trống
I3|PHONG_003|9|3|I3|Trống
I4|PHONG_003|9|4|I4|Trống
I5|PHONG_003|9|5|I5|Trống
I6|PHONG_003|9|6|I6|Trống
I7|PHONG_003|9|7|I7|Trống
I8|PHONG_003|9|8|I8|Trống
I9|PHONG_003|9|9|I9|Trống
A1|PHONG_004|1|1|A1|Trống
A2|PHONG_004|1|2|A2|Trống
A3|PHONG_004|1|3|A3|Trống
A4|PHONG_004|1|4|A4|Trống
A5|PHONG_004|1|5|A5|Trống
A6|PHONG_004|1|6|A6|Trống
A7|PHONG_004|1|7|A7|Trống
A8|PHONG_004|1|8|A8|Trống
A9|PHONG_004|1|9|A9|Trống
B1|PHONG_004|2|1|B1|Trống
B2|PHONG_004|2|2|B2|Trống
B3|PHONG_004|2|3|B3|Trống
B4|PHONG_004|2|4|B4|Trống
B5|PHONG_004|2|5|B5|Trống
B6|PHONG_004|2|6|B6|Trống
B7|PHONG_004|2|7|B7|Trống
B8|PHONG_004|2|8|B8|Trống
B9|PHONG_004|2|9|B9|Trống
C1|PHONG_004|3|1|C1|Trống
C2|PHONG_004|3|2|C2|Trống
C3|PHONG_004|3|3|C3|Trống
C4|PHONG_004|3|4|C4|Trống
C5|PHONG_004|3|5|C5|Trống
C6|PHONG_004|3|6|C6|Trống
C7|PHONG_004|3|7|C7|Trống
C8|PHONG_004|3|8|C8|Trống
C9|PHONG_004|3|9|C9|Trống
D1|PHONG_004|4|1|D1|Trống
D2|PHONG_004|4|2|D2|Trống
D3|PHONG_004|4|3|D3|Trống
D4|PHONG_004|4|4|D4|Trống
D5|PHONG_004|4|5|D5|Trống
D6|PHONG_004|4|6|D6|Trống
D7|PHONG_004|4|7|D7|Trống
D8|PHONG_004|4|8|D8|Trống
D9|PHONG_004|4|9|D9|Trống
E1|PHONG_004|5|1|E1|Trống
E2|PHONG_004|5|2|E2|Trống
E3|PHONG_004|5|3|E3|Trống
E4|PHONG_004|5|4|E4|Trống
E5|PHONG_004|5|5|E5|Trống
E6|PHONG_004|5|6|E6|Trống
E7|PHONG_004|5|7|E7|Trống
E8|PHONG_004|5|8|E8|Trống
E9|PHONG_004|5|9|E9|Trống
F1|PHONG_004|6|1|F1|Trống
F2|PHONG_004|6|2|F2|Trống
F3|PHONG_004|6|3|F3|Trống
F4|PHONG_004|6|4|F4|Trống
F5|PHONG_004|6|5|F5|Trống
F6|PHONG_004|6|6|F6|Trống
F7|PHONG_004|6|7|F7|Trống
F8|PHONG_004|6|8|F8|Trống
F9|PHONG_004|6|9|F9|Trống
G1|PHONG_004|7|1|G1|Trống
G2|PHONG_004|7|2|G2|Trống
G3|PHONG_004|7|3|G3|Trống
G4|PHONG_004|7|4|G4|Trống
G5|PHONG_004|7|5|G5|Trống
G6|PHONG_004|7|6|G6|Trống
G7|PHONG_004|7|7|G7|Trống
G8|PHONG_004|7|8|G8|Trống
G9|PHONG_004|7|9|G9|Trống
H1|PHONG_004|8|1|H1|Trống
H2|PHONG_004|8|2|H2|Trống
H3|PHONG_004|8|3|H3|Trống
H4|PHONG_004|8|4|H4|Trống
H5|PHONG_004|8|5|H5|Trống
H6|PHONG_004|8|6|H6|Trống
H7|PHONG_004|8|7|H7|Trống
H8|PHONG_004|8|8|H8|Trống
H9|PHONG_004|8|9|H9|Trống
I1|PHONG_004|9|1|I1|Trống
I2|PHONG_004|9|2|I2|Trống
I3|PHONG_004|9|3|I3|Trống
I4|PHONG_004|9|4|I4|Trống
I5|PHONG_004|9|5|I5|Trống
I6|PHONG_004|9|6|I6|Trống
I7|PHONG_004|9|7|I7|Trống
I8|PHONG_004|9|8|I8|Trống
I9|PHONG_004|9|9|I9|Trống
A1|PHONG_005|1|1|A1|Trống
A2|PHONG_005|1|2|A2|Trống
A3|PHONG_005|1|3|A3|Trống
A4|PHONG_005|1|4|A4|Trống
A5|PHONG_005|1|5|A5|Trống
A6|PHONG_005|1|6|A6|Trống
A7|PHONG_005|1|7|A7|Trống
A8|PHONG_005|1|8|A8|Trống
A9|PHONG_005|1|9|A9|Trống
B1|PHONG_005|2|1|B1|Trống
B2|PHONG_005|2|2|B2|Trống
B3|PHONG_005|2|3|B3|Trống
B4|PHONG_005|2|4|B4|Trống
B5|PHONG_005|2|5|B5|Trống
B6|PHONG_005|2|6|B6|Trống
B7|PHONG_005|2|7|B7|Trống
B8|PHONG_005|2|8|B8|Trống
B9|PHONG_005|2|9|B9|Trống
C1|PHONG_005|3|1|C1|Trống
C2|PHONG_005|3|2|C2|Trống
C3|PHONG_005|3|3|C3|Trống
C4|PHONG_005|3|4|C4|Trống
C5|PHONG_005|3|5|C5|Trống
C6|PHONG_005|3|6|C6|Trống
C7|PHONG_005|3|7|C7|Trống
C8|PHONG_005|3|8|C8|Trống
C9|PHONG_005|3|9|C9|Trống
D1|PHONG_005|4|1|D1|Trống
D2|PHONG_005|4|2|D2|Trống
D3|PHONG_005|4|3|D3|Trống
D4|PHONG_005|4|4|D4|Trống
D5|PHONG_005|4|5|D5|Trống
D6|PHONG_005|4|6|D6|Trống
D7|PHONG_005|4|7|D7|Trống
D8|PHONG_005|4|8|D8|Trống
D9|PHONG_005|4|9|D9|Trống
E1|PHONG_005|5|1|E1|Trống
E2|PHONG_005|5|2|E2|Trống
E3|PHONG_005|5|3|E3|Trống
E4|PHONG_005|5|4|E4|Trống
E5|PHONG_005|5|5|E5|Trống
E6|PHONG_005|5|6|E6|Trống
E7|PHONG_005|5|7|E7|Trống
E8|PHONG_005|5|8|E8|Trống
E9|PHONG_005|5|9|E9|Trống
F1|PHONG_005|6|1|F1|Trống
F2|PHONG_005|6|2|F2|Trống
F3|PHONG_005|6|3|F3|Trống
F4|PHONG_005|6|4|F4|Trống
F5|PHONG_005|6|5|F5|Trống
F6|PHONG_005|6|6|F6|Trống
F7|PHONG_005|6|7|F7|Trống
F8|PHONG_005|6|8|F8|Trống
F9|PHONG_005|6|9|F9|Trống
G1|PHONG_005|7|1|G1|Trống
G2|PHONG_005|7|2|G2|Trống
G3|PHONG_005|7|3|G3|Trống
G4|PHONG_005|7|4|G4|Trống
G5|PHONG_005|7|5|G5|Trống
G6|PHONG_005|7|6|G6|Trống
G7|PHONG_005|7|7|G7|Trống
G8|PHONG_005|7|8|G8|Trống
G9|PHONG_005|7|9|G9|Trống
H1|PHONG_005|8|1|H1|Trống
H2|PHONG_005|8|2|H2|Trống
H3|PHONG_005|8|3|H3|Trống
H4|PHONG_005|8|4|H4|Trống
H5|PHONG_005|8|5|H5|Trống
H6|PHONG_005|8|6|H6|Trống
H7|PHONG_005|8|7|H7|Trống
H8|PHONG_005|8|8|H8|Trống
H9|PHONG_005|8|9|H9|Trống
I1|PHONG_005|9|1|I1|Trống
I2|PHONG_005|9|2|I2|Trống
I3|PHONG_005|9|3|I3|Trống
I4|PHONG_005|9|4|I4|Trống
I5|PHONG_005|9|5|I5|Trống
I6|PHONG_005|9|6|I6|Trống
I7|PHONG_005|9|7|I7|Trống
I8|PHONG_005|9|8|I8|Trống
I9|PHONG_005|9|9|I9|Trống
A1|PHONG_006|1|1|A1|Trống
A2|PHONG_006|1|2|A2|Trống
A3|PHONG_006|1|3|A3|Trống
A4|PHONG_006|1|4|A4|Trống
A5|PHONG_006|1|5|A5|Trống
A6|PHONG_006|1|6|A6|Trống
A7|PHONG_006|1|7|A7|Trống
A8|PHONG_006|1|8|A8|Trống
A9|PHONG_006|1|9|A9|Trống
B1|PHONG_006|2|1|B1|Trống
B2|PHONG_006|2|2|B2|Trống
B3|PHONG_006|2|3|B3|Trống
B4|PHONG_006|2|4|B4|Trống
B5|PHONG_006|2|5|B5|Trống
B6|PHONG_006|2|6|B6|Trống
B7|PHONG_006|2|7|B7|Trống
B8|PHONG_006|2|8|B8|Trống
B9|PHONG_006|2|9|B9|Trống
C1|PHONG_006|3|1|C1|Trống
C2|PHONG_006|3|2|C2|Trống
C3|PHONG_006|3|3|C3|Trống
C4|PHONG_006|3|4|C4|Trống
C5|PHONG_006|3|5|C5|Trống
C6|PHONG_006|3|6|C6|Trống
C7|PHONG_006|3|7|C7|Trống
C8|PHONG_006|3|8|C8|Trống
C9|PHONG_006|3|9|C9|Trống
D1|PHONG_006|4|1|D1|Trống
D2|PHONG_006|4|2|D2|Trống
D3|PHONG_006|4|3|D3|Trống
D4|PHONG_006|4|4|D4|Trống
D5|PHONG_006|4|5|D5|Trống
D6|PHONG_006|4|6|D6|Trống
D7|PHONG_006|4|7|D7|Trống
D8|PHONG_006|4|8|D8|Trống
D9|PHONG_006|4|9|D9|Trống
E1|PHONG_006|5|1|E1|Trống
E2|PHONG_006|5|2|E2|Trống
E3|PHONG_006|5|3|E3|Trống
E4|PHONG_006|5|4|E4|Trống
E5|PHONG_006|5|5|E5|Trống
E6|PHONG_006|5|6|E6|Trống
E7|PHONG_006|5|7|E7|Trống
E8|PHONG_006|5|8|E8|Trống
E9|PHONG_006|5|9|E9|Trống
F1|PHONG_006|6|1|F1|Trống
F2|PHONG_006|6|2|F2|Trống
F3|PHONG_006|6|3|F3|Trống
F4|PHONG_006|6|4|F4|Trống
F5|PHONG_006|6|5|F5|Trống
F6|PHONG_006|6|6|F6|Trống
F7|PHONG_006|6|7|F7|Trống
F8|PHONG_006|6|8|F8|Trống
F9|PHONG_006|6|9|F9|Trống
G1|PHONG_006|7|1|G1|Trống
G2|PHONG_006|7|2|G2|Trống
G3|PHONG_006|7|3|G3|Trống
G4|PHONG_006|7|4|G4|Trống
G5|PHONG_006|7|5|G5|Trống
G6|PHONG_006|7|6|G6|Trống
G7|PHONG_006|7|7|G7|Trống
G8|PHONG_006|7|8|G8|Trống
G9|PHONG_006|7|9|G9|Trống
H1|PHONG_006|8|1|H1|Trống
H2|PHONG_006|8|2|H2|Trống
H3|PHONG_006|8|3|H3|Trống
H4|PHONG_006|8|4|H4|Trống
H5|PHONG_006|8|5|H5|Trống
H6|PHONG_006|8|6|H6|Trống
H7|PHONG_006|8|7|H7|Trống
H8|PHONG_006|8|8|H8|Trống
H9|PHONG_006|8|9|H9|Trống
I1|PHONG_006|9|1|I1|Trống
I2|PHONG_006|9|2|I2|Trống
I3|PHONG_006|9|3|I3|Trống
I4|PHONG_006|9|4|I4|Trống
I5|PHONG_006|9|5|I5|Trống
I6|PHONG_006|9|6|I6|Trống
I7|PHONG_006|9|7|I7|Trống
I8|PHONG_006|9|8|I8|Trống
I9|PHONG_006|9|9|I9|Trống
